base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_160025,s,42,357,29,328,101,0,96.55172413793103,0.5,val_desp_aluguel_fam_eq=0@locnasc=hospital@mesprenat=[1;3]@cod_sabe_ler_escrever_memb_eq_M=s,21,109,0.02924306977693038,1.9885941644562335,0.16153846153846155,0.3641456582633053,17.666314212171383,2.6324757928741782E-5,0.7241379310344828,0.3323170731707317
DM_peso_familia_160025,s,42,357,29,328,101,1,96.55172413793103,0.5,cod_parentesco_rf_pessoa_eq=Son/daughter@val_desp_aluguel_fam_eq=0@csection=C-section@cod_sabe_ler_escrever_memb_eq_M=s,13,42,0.023899755980823698,2.909717868338558,0.23636363636363636,0.15406162464985995,20.964598043777777,4.678491863252532E-6,0.4482758620689655,0.12804878048780488
DM_peso_familia_160025,s,42,357,29,328,101,2,96.55172413793103,0.5,locnasc=hospital@consultas=4-6@cod_sabe_ler_escrever_memb_eq_M=s,16,83,0.02229126944895606,1.9895506792058515,0.16161616161616163,0.2773109243697479,11.859979582928075,5.735317305743948E-4,0.5517241379310345,0.2530487804878049
DM_peso_familia_160025,s,42,357,29,328,101,3,96.55172413793103,0.5,cod_calcamento_domic_fam=nExiste@locnasc=hospital@cod_sabe_ler_escrever_memb_eq_M=s,14,80,0.017826738538552673,1.833455612619222,0.14893617021276595,0.26330532212885155,7.8366315174105265,0.005119792230417586,0.4827586206896552,0.24390243902439024
DM_peso_familia_160025,s,42,357,29,328,101,4,96.55172413793103,0.5,val_desp_agua_esgoto_fam_eq=0@locnasc=hospital@cod_sabe_ler_escrever_memb_eq_M=s@perdaFetalAnterior=s,9,38,0.01451561016563488,2.3573000733675715,0.19148936170212766,0.13165266106442577,8.816176568210194,0.0029857162637011436,0.3103448275862069,0.11585365853658537
DM_peso_familia_160025,s,42,357,29,328,101,5,96.55172413793103,0.5,cod_especie_domic_fam_eq=partPerm@female=s@val_desp_gas_fam_eq=>= 45@estcivmae=casada/uniEstavel@age_M=[20;40)@primeiraGestacao=n,10,26,0.01981969258291552,3.4195402298850572,0.2777777777777778,0.10084033613445378,20.72313870133545,5.307081558214577E-6,0.3448275862068966,0.07926829268292683
DM_peso_familia_160025,s,42,357,29,328,101,6,96.55172413793103,0.5,cod_abaste_agua_domic_fam_eq=redePublica@cod_agua_canalizada_fam=s@estcivmae=casada/uniEstavel@racacor_cidacs_M=preto;pardo@age_M=[20;40),8,27,0.014444993683748006,2.8137931034482757,0.22857142857142856,0.09803921568627451,11.28703925476286,7.805005321597225E-4,0.27586206896551724,0.08231707317073171
DM_peso_familia_160025,s,42,357,29,328,101,7,96.55172413793103,0.5,cod_agua_canalizada_fam=s@cod_especie_domic_fam_eq=partPerm@female=s@racacor_cidacs_M=preto;pardo@primeiraGestacao=n,8,27,0.014444993683748006,2.8137931034482757,0.22857142857142856,0.09803921568627451,11.28703925476286,7.805005321597225E-4,0.27586206896551724,0.08231707317073171
DM_peso_familia_160025,s,42,357,29,328,101,8,96.55172413793103,0.5,female=s@val_desp_gas_fam_eq=>= 45@age_M=[20;40),13,85,0.014115450101609275,1.6330049261083743,0.1326530612244898,0.27450980392156865,4.785561055167868,0.028699296827652154,0.4482758620689655,0.25914634146341464
DM_peso_familia_160025,s,42,357,29,328,101,9,96.55172413793103,0.5,qtd_comodos_domic_fam_eq=[2a1]@val_desp_energia_fam_eq=0@val_desp_gas_fam_eq=>= 45,8,31,0.013534825694983875,2.5251989389920424,0.20512820512820512,0.1092436974789916,9.004981943211908,0.0026924464995903286,0.27586206896551724,0.09451219512195122

