base,alvo,A,D,Dp,Dn,I,id,SUPP,itemDom,desc,TP,FP,quali,lift,conf,cov,chi,pvalue,sup_p,sup_n
DM_peso_familia_410750,s,42,451,37,414,96,0,97.2972972972973,0.4,cod_agua_canalizada_fam=s@cod_parentesco_rf_pessoa_eq=Son/daughter@female=s@age_M=[20;40),24,148,0.021927129168489826,1.7008170961659332,0.13953488372093023,0.38137472283813745,12.204262603275398,4.7680445160835916E-4,0.6486486486486487,0.357487922705314
DM_peso_familia_410750,s,42,451,37,414,96,1,97.2972972972973,0.4,"cod_agua_canalizada_fam=s,cod_calcamento_domic_fam=total,female=s,age_M=[20;40),primeiraGestacao=n",14,55,0.018490567892979877,2.473168820994908,0.2028985507246377,0.15299334811529933,15.800422130084437,7.038680274140674E-5,0.3783783783783784,0.13285024154589373
DM_peso_familia_410750,s,42,451,37,414,96,2,97.2972972972973,0.4,"cod_agua_canalizada_fam=s,female=s,csection=C-section,age_M=[20;40),social_assistence_M=n,primeiraGestacao=n",13,49,0.017546619731466415,2.5557977332170876,0.20967741935483872,0.13747228381374724,15.549852784565628,8.035790500493523E-5,0.35135135135135137,0.11835748792270531
DM_peso_familia_410750,s,42,451,37,414,96,3,97.2972972972973,0.4,"cod_parentesco_rf_pessoa_eq=Son/daughter,consultas=4-6",12,46,0.016056951539077977,2.5219012115563837,0.20689655172413793,0.1286031042128603,13.778003589269709,2.0573094756037857E-4,0.32432432432432434,0.1111111111111111
DM_peso_familia_410750,s,42,451,37,414,96,4,97.2972972972973,0.4,"cod_parentesco_rf_pessoa_eq=Son/daughter,female=s,val_desp_aluguel_fam_eq=(150;350)",12,50,0.015329324831244684,2.359197907585004,0.1935483870967742,0.13747228381374724,11.868215064070945,5.710011156935257E-4,0.32432432432432434,0.12077294685990338
DM_peso_familia_410750,s,42,451,37,414,96,5,97.2972972972973,0.4,"cod_abaste_agua_domic_fam_eq=redePublica,cod_destino_lixo_domic_fam_eq=coletado,qtd_comodos_dormitorio_fam=[2;3],val_desp_gas_fam_eq=(24;45),cod_sabe_ler_escrever_memb_eq_M=s,bf_baby=n",8,23,0.012099252216065802,3.1455972101133387,0.25806451612903225,0.06873614190687362,13.695778382068703,2.1493710429687507E-4,0.21621621621621623,0.05555555555555555
DM_peso_familia_410750,s,42,451,37,414,96,6,97.2972972972973,0.4,"cod_abaste_agua_domic_fam_eq=redePublica,qtd_comodos_dormitorio_fam=[2;3],cct_M=n",21,174,0.011091390897783196,1.3126819126819127,0.1076923076923077,0.43237250554323725,3.00177468438338,0.08317336345307413,0.5675675675675675,0.42028985507246375
DM_peso_familia_410750,s,42,451,37,414,96,7,97.2972972972973,0.4,"qtd_familias_domic_fam=>1,mesprenat=[1;3],ses_5cat=Middle,bf_baby=n",5,3,0.009631221085442059,7.618243243243243,0.625,0.017738359201773836,31.882299372932653,1.6380305667418327E-8,0.13513513513513514,0.007246376811594203
DM_peso_familia_410750,s,42,451,37,414,96,8,97.2972972972973,0.4,"cod_abaste_agua_domic_fam_eq=redePublica,cod_escoa_sanitario_domic_fam_eq=fossaRud,qtd_comodos_dormitorio_fam=[2;3],val_desp_gas_fam_eq=(24;45),escolaridade_eq_M=medio,bf_baby=n",5,5,0.009267407731525412,6.094594594594595,0.5,0.022172949002217297,23.722398455835314,1.1127987256109861E-6,0.13513513513513514,0.012077294685990338
DM_peso_familia_410750,s,42,451,37,414,96,9,97.2972972972973,0.4,"cod_abaste_agua_domic_fam_eq=redePublica,cod_material_piso_fam=maci,qtd_comodos_domic_fam_eq=[4a3]",9,55,0.008313626776662848,1.7141047297297294,0.140625,0.1419068736141907,3.399153311025045,0.06522989348312402,0.24324324324324326,0.13285024154589373


cod_agua_canalizada_fam=s@cod_parentesco_rf_pessoa_eq=Son/daughter@female=s@age_M=[20;40)
